,GPU_Name,Price
0,GALAX RTX 2080 Ti HOF Limited Edition Graphic Card,"₹109,200"
1,GALAX GeForce GTX 1660 6GB 1-Click OC Graphic Card 60SRH7DSY91C,"₹16,849"
2,MSI Radeon RX 580 ARMOR 8G OC Graphic Card,"₹13,600"
3,Gigabyte Radeon RX 570 Gaming 4G Graphic Card GV-RX570GAMING-4GD,"₹11,550"
4,INNO3D GeForce GTX 1650 Super Twin X2 OC 4GB GDDR6 128-bit Gaming Graphics Card N165S2-04D6X-1720VA31,"₹13,388"
5,Gigabyte GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphic Card GV-N165SWF2OC-4GD,"₹14,799"
6,Gigabyte Radeon RX 590 Gaming 8G Graphic Card,"₹16,999"
7,GIGABYTE Radeon RX 560 Gaming OC 4GB GV-RX560OC-4GD rev2.0 Graphic Card,"₹8,350"
8,GALAX GeForce RTX 2060 Super (1-Click OC) 8GB GDDR6 256-bit Graphic Card 26ISL6HP39SS,"₹31,200"
9,Gigabyte GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphic Card GV-N206SWF2OC-8GD,"₹33,199"
10,Gigabyte GeForce RTX 2070 SUPER GAMING OC 8G Graphic Card GV-N207SGAMING OC-8GC,"₹46,038"
11,Gigabyte GeForce GT 710 2GB GDDR5 64-bit Gaming Graphics Card GV-N710D5-2GIL,"₹3,300"
12,MSI GeForce GTX 1660 SUPER GAMING X 6GB GDDR6 192-bit Graphic Card,"₹22,499"
13,INNO3D GEFORCE GTX 1660 SUPER TWIN X2 6GB GDDR6 192-bit Graphic Card N166S2-06D6-1712VA15L,"₹18,638"
14,ASUS GeForce GTX 1660 Ti 6GB Phoenix OC Graphics Card PH-GTX1660TI-O6G,"₹24,750"
15,Gigabyte GeForce GTX 1660 SUPER OC 6G Graphic Card,"₹19,902"
16,Gigabyte GeForce GTX 1660 SUPER GAMING OC 6G Graphic Card,"₹20,999"
17,PowerColor Red Devil Radeon RX 5700 XT AXRX 5700 XT 8GBD6-3DHE/OC Graphic Card,"₹40,999"
18,Galax GeForce GTX 1660 TI (1 Click OC) 6GB GDDR6 Gaming Graphics Card 60IRL7DSY91C,"₹21,999"
19,ZOTAC GEFORCE RTX 2070 SUPER AMP EXTREME Graphic Card ZT-T20710B-10P,"₹45,999"
20,ASUS Dual GeForce GTX 1660 Ti OC Edition 6GB Graphic Card DUAL-GTX1660TI-O6G,"₹30,375"
21,ASUS ROG-STRIX-RTX2060-A6G-GAMING 6GB GDDR6 Graphic Card,"₹42,375"
22,GALAX GeForce RTX 2070 Super EX (1-Click OC) Graphic Card,"₹40,499"
23,ZOTAC GAMING GeForce GTX 6GB 1660 Graphic Card ZT-T16600F-10L,"₹16,799"
24,ASUS ROG-STRIX-RTX2060-O6G-GAMING 6GB GDDR6 Graphic Card,"₹47,547"
25,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 Graphic Card ZT-T20600F-10M,"₹25,300"
26,Gigabyte Radeon RX 5600 XT GAMING OC 6G Graphic Card GV-R56XTGAMING OC-6GD,"₹26,099"
