,GPU_Name,Price
0,Asus GeForce GTX 1650 Super TUF Gaming OC 4GB GDDR6 128-bit Gaming Graphics Card ,"₹17,275 "
1,Asus Radeon ROG Strix RX 5600 XT OC 6GB GDDR6 192-bit Gaming Graphics Card ,"₹35,191 "
2,Asus Radeon Rog Strix RX 570 4GB GDDR5 256-bit Gaming Graphics Card ,"₹11,410 "
3,Asus Radeon RX 580 Dual OC 4GB GDDR5 256-Bit Gaming Graphics Card ,"₹12,796 "
4,Asus Radeon Tuf Gaming X3 RX 5600 XT Evo 6GB GDDR6 192-Bit Gaming Graphics Card ,"₹32,151 "
5,Asus Radeon TUF Gaming X3 RX 5700 XT OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹40,576 "
6,Colorful GeForce GT 710 2GB DDR3 64-bit Gaming Graphics Card ,"₹3,295 "
7,Colorful GeForce GTX 1650 NB 4GB GDDR5 128-bit Gaming Graphics Card ,"₹12,051 "
8,Colorful GeForce GTX 1660 Super V 6GB GDDR6 192-Bit Gaming Graphics Card ,"₹19,943 "
9,Colorful GeForce iGame GTX 1660 Ti Ultra 6GB GDDR6 192-bit Gaming Graphics Card ,"₹24,975 "
10,Colorful GeForce RTX 2060 Super V 8GB GDDR6 256-Bit Gaming Graphics Card ,"₹35,042 "
11,Colorful GeForce RTX 2070 Super 8GB GDDR6 256-bit Gaming Graphics Card ,"₹45,429 "
12,Colorful iGame GeForce RTX 2080 Advanced OC 8GB GDDR6 256-Bit Gaming Graphics Card ,"₹55,080 "
13,Colorful iGame GeForce RTX 2080 Ti Advanced OC V RGB 11GB GDDR6 352-Bit Gaming Graphics Card ,"₹111,417 "
14,Galax GeForce GTX 1050 Ti (1-Click OC) 4GB DDR5 128-bit Gaming Graphics Card ,"₹10,653 "
15,Galax GeForce GTX 1650 EX (1-Click OC) 4GB GDDR5 128-bit Gaming Graphics Card ,"₹11,944 "
16,Galax GeForce GTX 1650 Super EX (1-Click OC) 4GB GDDR6 128-bit Gaming Graphics Card ,"₹14,732 "
17,Galax GeForce GTX 1660 (1-Click OC) 6GB GDDR5 192-bit Gaming Graphics Card ,"₹17,916 "
18,Galax GeForce GTX 1660 Super (1-Click OC) 6GB GDDR6 192-bit Gaming Graphics Card ,"₹21,007 "
19,Galax GeForce RTX 2060 Super Gamer (1-Click OC) 8GB GDDR6 256-bit Gaming Graphics Card ,"₹36,258 "
20,Galax GeForce RTX 2070 Super EX (1-Click OC) 8GB GDDR6 256-bit Gaming Graphics Card ,"₹42,764 "
21,Galax GeForce RTX 2070 Super EX Gamer Black Edition (1-Click OC) 8GB GDDR6 256-bit Gaming Graphics Card ,"₹44,257 "
22,Galax GeForce RTX 2080 EX OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹63,452 "
23,Galax GeForce RTX 2080 Super EX Gamer 8GB GDDR6 256-bit Gaming Graphics Card ,"₹68,251 "
24,Galax GeForce RTX 2080 Ti SG (1 Click OC) V2 11GB GDDR6 352-bit Gaming Graphics Card ,"₹99,708 "
25,Gigabyte Aorus GeForce RTX 2080 Super 8GB GDDR6 256-bit Gaming Graphics Card ,"₹71,005 "
26,Gigabyte Aorus GeForce RTX 2080 Xtreme 8GB GDDR6 256-bit Gaming Graphics Card ,"₹79,056 "
27,Gigabyte GeForce GT 710 2GB DDR5 64-bit Gaming Graphics Card ,"₹3,466 "
28,Gigabyte GeForce GTX 1650 OC 4GB GDDR5 128-bit Gaming Graphics Card ,"₹12,156 "
29,Gigabyte GeForce GTX 1650 Super Windforce OC 4GB GDDR6 128-bit Gaming Graphics Card ,"₹14,423 "
30,Gigabyte GeForce GTX 1660 OC 6GB GDDR5 192-bit Gaming Graphics Card ,"₹17,822 "
31,Gigabyte GeForce GTX 1660 Super OC 6GB GDDR6 192-bit Gaming Graphics Card ,"₹21,327 "
32,Gigabyte GeForce GTX 1660 Ti OC 6GB GDDR6 192-bit Gaming Graphics Card ,"₹23,180 "
33,Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8GB GDDR6 256-bit Gaming Graphics Card ,"₹38,391 "
34,Gigabyte GeForce RTX 2060 Super Windforce OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹34,605 "
35,Gigabyte GeForce RTX 2070 Super Windforce OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹46,874 "
36,Gigabyte GeForce RTX 2080 Gaming OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹66,318 "
37,Gigabyte GeForce RTX 2080 Super Gaming OC 8GB GDDR6 256-Bit Gaming Graphics Card ,"₹67,713 "
38,Gigabyte Radeon RX 5500 XT Gaming OC 8GB GDDR6 128-Bit Gaming Graphics Card ,"₹22,073 "
39,Gigabyte Radeon RX 5500 XT OC 8GB GDDR6 128-Bit Gaming Graphics Card ,"₹20,474 "
40,Inno3d GeForce GT 730 LP 2GB GDDR5 64-Bit Gaming Graphics Card ,"₹6,237 "
41,Inno3d GeForce GTX 1650 Super Twin X2 OC 4GB GDDR6 128-bit Gaming Graphics Card ,"₹14,397 "
42,Inno3d GeForce GTX 1650 Twin X2 OC 4GB GDDR5 128-bit Gaming Graphics Card ,"₹11,235 "
43,Inno3d GeForce GTX 1660 Ti Twin X2 6GB GDDR6 192-bit Gaming Graphics Card ,"₹23,461 "
44,Inno3d GeForce GTX 1660 Twin X2 6GB GDDR5 192-Bit Gaming Graphics Card ,"₹16,275 "
45,Inno3d GeForce Pascal Series GT 1030 0Db 2GB GDDR5 64-bit Gaming Graphics Card ,"₹6,128 "
46,Inno3d GeForce Pascal Series GTX 1060 Gaming OC 6GB GDDR5X 192-bit Gaming Graphics Card ,"₹14,619 "
47,Inno3d GeForce RTX 2060 Twin X2 6GB GDDR6 192-bit Gaming Graphics Card ,"₹25,200 "
48,Inno3d GeForce RTX 2070 Super Twin X2 OC 8GB GDDR6 256-bit Gaming Graphics Card ,"₹39,900 "
49,Inno3d GeForce RTX 2080 Super Ichill X3 Ultra RGB 8GB GDDR6 256-bit Gaming Graphics Card ,"₹68,251 "
